Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",123.044888,-62.000000,0.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",146.455113,-62.500000,180.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",156.000000,-117.562500,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",188.062500,-75.500000,90.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",130.000000,-101.937500,90.000000,top
"D1","~","LED_D5.0mm",154.000000,-74.000000,-90.000000,top
"D2","~","LED_D5.0mm",161.500000,-73.975000,-90.000000,top
"D3","~","LED_D5.0mm",169.000000,-74.000000,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",126.800000,-81.500000,0.000000,top
"D5","~","LED_D5.0mm",176.500000,-74.000000,-90.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",112.500000,-81.617500,0.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",144.500000,-77.000000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",155.000000,-68.680000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",160.500000,-68.760000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",168.000000,-69.000000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",174.420000,-69.000000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-95.000000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-98.000000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",164.000000,-117.500000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-101.000000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",168.000000,-117.550000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",172.500000,-117.550000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-86.000000,0.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",176.000000,-117.550000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.000000,-117.550000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-104.500000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.000000,-117.550000,90.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-108.000000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-89.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.550000,-92.000000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",110.500000,-103.550000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",110.500000,-97.550000,90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",156.500000,-124.500000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",138.000000,-100.600000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",138.000000,-73.000000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",146.560000,-88.220000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",158.500000,-88.220000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",170.380000,-88.220000,0.000000,top
"U5","FYS-3911BUHR-21","HDSP-7401",196.500000,-85.500000,0.000000,top
"U6","SN74LVC1G11","SOT-23-6",169.500000,-81.500000,180.000000,top
"U7","NE555P","DIP-8_W7.62mm",117.195000,-97.190000,0.000000,top
